Task 3- Release:  0.100, Completion:  0.191, Response: 0.091, WCRT: 0.091, Next Release:  0.700
Task 2- Release:  4.500, Completion:  4.602, Response: 0.102, WCRT: 0.150, Next Release:  4.900
Task 1- Release:  4.600, Completion:  4.714, Response: 0.114, WCRT: 0.131, Next Release:  4.900
Task 3- Release:  4.900, Completion:  5.017, Response: 0.117, WCRT: 0.128, Next Release:  5.500
Task 2- Release:  4.900, Completion:  5.022, Response: 0.122, WCRT: 0.150, Next Release:  5.300
Task 1- Release:  4.900, Completion:  5.026, Response: 0.126, WCRT: 0.131, Next Release:  5.200
Task 1- Release:  5.200, Completion:  5.307, Response: 0.107, WCRT: 0.131, Next Release:  5.500
Task 2- Release:  5.300, Completion:  5.399, Response: 0.099, WCRT: 0.150, Next Release:  5.700
Task 1- Release:  5.500, Completion:  5.616, Response: 0.116, WCRT: 0.131, Next Release:  5.800
Task 3- Release:  5.500, Completion:  5.617, Response: 0.117, WCRT: 0.128, Next Release:  6.100
Task 2- Release:  5.700, Completion:  5.811, Response: 0.111, WCRT: 0.150, Next Release:  6.100
Task 1- Release:  5.800, Completion:  5.904, Response: 0.104, WCRT: 0.131, Next Release:  6.100
Task 3- Release:  6.100, Completion:  6.210, Response: 0.110, WCRT: 0.128, Next Release:  6.700
Task 2- Release:  6.100, Completion:  6.223, Response: 0.123, WCRT: 0.150, Next Release:  6.500
Task 1- Release:  6.100, Completion:  6.227, Response: 0.127, WCRT: 0.131, Next Release:  6.400
Task 1- Release:  6.400, Completion:  6.513, Response: 0.113, WCRT: 0.131, Next Release:  6.700
Task 2- Release:  6.500, Completion:  6.609, Response: 0.109, WCRT: 0.150, Next Release:  6.900
Task 1- Release:  6.700, Completion:  6.826, Response: 0.126, WCRT: 0.131, Next Release:  7.000
Task 3- Release:  6.700, Completion:  6.826, Response: 0.126, WCRT: 0.128, Next Release:  7.300
Task 2- Release:  6.900, Completion:  6.992, Response: 0.092, WCRT: 0.150, Next Release:  7.300
Task 1- Release:  7.000, Completion:  7.117, Response: 0.117, WCRT: 0.131, Next Release:  7.300
Task 1- Release:  7.300, Completion:  7.395, Response: 0.095, WCRT: 0.131, Next Release:  7.600
Task 2- Release:  7.300, Completion:  7.395, Response: 0.095, WCRT: 0.150, Next Release:  7.700
Task 3- Release:  7.300, Completion:  7.396, Response: 0.096, WCRT: 0.128, Next Release:  7.900
Task 1- Release:  7.600, Completion:  7.705, Response: 0.105, WCRT: 0.131, Next Release:  7.900
Task 2- Release:  7.700, Completion:  7.806, Response: 0.106, WCRT: 0.150, Next Release:  8.100
Task 3- Release:  7.900, Completion:  8.003, Response: 0.103, WCRT: 0.128, Next Release:  8.500
Task 1- Release:  7.900, Completion:  8.004, Response: 0.104, WCRT: 0.131, Next Release:  8.200
Task 2- Release:  8.100, Completion:  8.213, Response: 0.113, WCRT: 0.150, Next Release:  8.500
Task 1- Release:  8.200, Completion:  8.314, Response: 0.114, WCRT: 0.131, Next Release:  8.500
Task 1- Release:  8.500, Completion:  8.613, Response: 0.113, WCRT: 0.131, Next Release:  8.800
Task 3- Release:  8.500, Completion:  8.613, Response: 0.113, WCRT: 0.128, Next Release:  9.100
Task 2- Release:  8.500, Completion:  8.618, Response: 0.118, WCRT: 0.150, Next Release:  8.900
